start_station_name,Number of rides,latitude,longitude
"Waterloo Station 3, Waterloo",324,51.50379168,-0.11282408
"Belgrove Street , King's Cross",304,51.52994371,-0.123616824
"Waterloo Station 1, Waterloo",206,51.50402794,-0.11386436
"Wormwood Street, Liverpool Street",191,51.51615461,-0.082422399
"Finsbury Circus, Liverpool Street",175,51.51707521,-0.086685542
"Hop Exchange, The Borough",146,51.50462759,-0.091773776
"Crosswall, Tower",124,51.51159481,-0.077121322
"Moorfields, Moorgate",123,51.51906932,-0.088285377
"Brushfield Street, Liverpool Street",120,51.518908,-0.079249
"Malet Street, Bloomsbury",108,51.52168078,-0.130431727
"Finsbury Square , Moorgate",107,51.52096262,-0.085634242
"Newgate Street , St. Paul's",103,51.5154186,-0.098850915
"Craven Street, Strand",102,51.50810309,-0.12602103
"Christopher Street, Liverpool Street",101,51.52128377,-0.084605692
"Holborn Circus, Holborn",101,51.51795029,-0.108657431
"Waterloo Station 2, Waterloo",100,51.50391973,-0.11342629
"Hyde Park Corner, Hyde Park",98,51.50311799,-0.153520935
"Cheapside, Bank",95,51.51397065,-0.09294031
"Old Street Station, St. Luke's",92,51.52548,-0.089659871
"Aldersgate Street, Barbican",92,51.5208417,-0.097340162
"Berry Street, Clerkenwell",91,51.52285301,-0.099994052
"Hatton Wall, Holborn",89,51.5216612,-0.109006325
"Bankside Mix, Bankside",89,51.50581776,-0.100186337
"Royal London Hospital, Whitechapel",89,51.518675,-0.06111
"Kennington Lane Rail Bridge, Vauxhall",88,51.4863434,-0.122492418
"Ashley Place, Victoria",86,51.49616092,-0.140947636
"Bethnal Green Road, Shoreditch",86,51.52364804,-0.074754872
"Duke Street Hill, London Bridge",86,51.50630441,-0.087262995
"Leman Street, Aldgate",85,51.51236389,-0.06954201
"Drury Lane, Covent Garden",84,51.51477076,-0.12221963
"Red Lion Street, Holborn",84,51.51824,-0.11655
"Eagle Wharf Road, Hoxton",83,51.53356,-0.09315
"Endsleigh Gardens, Euston",83,51.52683806,-0.130504336
"Stamford Street, South Bank",82,51.50556905,-0.111606696
"West Smithfield Rotunda, Farringdon",81,51.51821864,-0.100791005
"Bunhill Row, Moorgate",80,51.52085887,-0.089887855
"Abbey Orchard Street, Westminster",80,51.49812559,-0.132102166
"Wardour Street, Soho",80,51.51251523,-0.133201961
"Shoreditch High Street, Shoreditch",79,51.5263778,-0.078130921
"Bath Street, St. Luke's",78,51.52589324,-0.090847761
"Exhibition Road, Knightsbridge",78,51.499917,-0.174554
"William IV Street, Strand",77,51.50946212,-0.124749274
"Little Argyll Street, West End",77,51.51449962,-0.141423695
"Eccleston Place, Victoria",77,51.49395092,-0.147624377
"Russell Square Station, Bloomsbury",76,51.52341837,-0.124121774
"Great Tower Street, Monument",76,51.51048489,-0.082989638
"Bank of England Museum, Bank",75,51.51444134,-0.087587447
"Museum of London, Barbican",75,51.51782144,-0.096496865
"Black Lion Gate, Kensington Gardens",75,51.50990837,-0.187842717
"Foley Street, Fitzrovia",74,51.51918144,-0.140485596
"Leonard Circus , Shoreditch",74,51.52469624,-0.084439283
"Guilford Street , Bloomsbury",74,51.52334672,-0.120202614
"Clerkenwell Green, Clerkenwell",72,51.52326004,-0.104708922
"Albert Gate, Hyde Park",71,51.50295379,-0.158456089
"Bermondsey Street, Bermondsey",71,51.49785559,-0.081608045
"Tooley Street, Bermondsey",71,51.5034938,-0.07962099
"Hatton Garden, Holborn",70,51.51882555,-0.108028472
"Gloucester Road Station, South Kensington",70,51.49418566,-0.18267094
"Stonecutter Street, Holborn",70,51.51580998,-0.105270275
"Sadlers Sports Centre, Finsbury",70,51.52486887,-0.099489485
"St. James's Square, St. James's",70,51.50742485,-0.134621209
"Tavistock Street, Covent Garden",70,51.51196803,-0.120718759
"Wellington Street , Strand",69,51.51175646,-0.119643424
"Godliman Street, St. Paul's",69,51.51248445,-0.099141408
"Baylis Road, Waterloo",69,51.50144456,-0.110699309
"Soho Square , Soho",68,51.51563144,-0.132328837
"Doric Way , Somers Town",68,51.5288338,-0.132250369
"Braham Street, Aldgate",68,51.51423368,-0.073537654
"Notting Hill Gate Station, Notting Hill",67,51.50935342,-0.196422
"Golden Lane, Barbican",67,51.52174785,-0.094475072
"South Kensington Station, South Kensington",67,51.494412,-0.173881
"Belgrave Road, Victoria",66,51.49320445,-0.144132875
"Wren Street, Holborn",66,51.524564,-0.116279
"Howick Place, Westminster",65,51.49675303,-0.138733562
"Snow Hill, Farringdon",65,51.51733427,-0.103604248
"Howland Street, Fitzrovia",65,51.520994,-0.139016
"Finsbury Leisure Centre, St. Luke's",64,51.52600832,-0.096317627
"New Fetter Lane, Holborn",64,51.517428,-0.107987
"Kennington Cross, Kennington",64,51.48894022,-0.111435796
"Warren Street Station, Euston",64,51.52443845,-0.138019439
"Nesham Street, Wapping",63,51.507131,-0.06691
"Natural History Museum, South Kensington",63,51.49559291,-0.179077626
"Bayswater Road, Hyde Park",63,51.511933,-0.174411
"St. Bride Street, Holborn",62,51.51505991,-0.10534448
"Queen Street 2, Bank",62,51.511246,-0.093051
"Bouverie Street, Temple",62,51.51382102,-0.107927706
"Graham Street, Angel",62,51.53266186,-0.099981142
"Broadcasting House, Marylebone",61,51.51811784,-0.144228881
"Derry Street, Kensington",61,51.50136494,-0.191462381
"Vauxhall Cross, Vauxhall",61,51.48591714,-0.124469948
"Wells Street, Fitzrovia",61,51.51734403,-0.138072691
"Regent's Row , Haggerston",59,51.535678,-0.062546
"Imperial College, Knightsbridge",59,51.49942855,-0.179702476
"Curlew Street, Shad Thames",59,51.50227992,-0.074189225
"Queen Victoria Street, St. Paul's",59,51.51196176,-0.097441687
"Bolsover Street, Fitzrovia",59,51.52351808,-0.143613641
"Moor Street, Soho",58,51.51352755,-0.130110822
"Jubilee Gardens, South Bank",58,51.5046364,-0.116542278
"British Museum, Bloomsbury",58,51.51908011,-0.124678402
"South Wharf Road, Paddington",58,51.51733558,-0.175810943
"Bayley Street , Bloomsbury",58,51.51858757,-0.132053392
"Fore Street, Guildhall",58,51.517842,-0.090075
"Strand, Strand",58,51.512582,-0.1150573
"Sardinia Street, Holborn",58,51.515208,-0.117863
"Tower Gardens , Tower",56,51.50950627,-0.075459482
"Southampton Place, Holborn",56,51.51760685,-0.121328408
"Taviton Street, Bloomsbury",55,51.52505093,-0.131161087
"Southwark Station 2, Southwark",55,51.504044,-0.104778
"Palace Gate, Kensington Gardens",55,51.50204238,-0.184400221
"Smith Square, Westminster",54,51.49580589,-0.127575233
"Tysoe Street, Clerkenwell",54,51.52644342,-0.109256828
"Whitehall Place, Strand",54,51.50654321,-0.123179697
"Drummond Street , Euston",54,51.527326,-0.13605286
"Islington Green, Angel",54,51.53638435,-0.102757578
"Chadwell Street, Angel",54,51.53051587,-0.106408455
"Pritchard's Road, Bethnal Green",53,51.532091,-0.06142
"Shoreditch Park, Hoxton",53,51.53404294,-0.086379717
"Wellington Arch, Hyde Park",52,51.50274025,-0.149569201
"Great Titchfield Street, Fitzrovia",52,51.52025302,-0.141327271
"Kensington Church Street, Kensington",52,51.50315739,-0.191496313
"Tavistock Place, Bloomsbury",51,51.5262503,-0.123509611
"Hampstead Road, Euston",51,51.52554222,-0.138231303
"Boston Place, Marylebone",51,51.522511,-0.162298
"Golden Square, Soho",50,51.5118973,-0.137043852
"Hinde Street, Marylebone",50,51.51681444,-0.151926305
"Triangle Car Park, Hyde Park",49,51.50645179,-0.170279555
"Queen Mother Sports Centre, Victoria",49,51.49357351,-0.139956043
"Broadwick Street, Soho",49,51.5136846,-0.135580879
"Webber Street , Southwark",49,51.50069361,-0.102091246
"Kingsway Southbound, Strand",49,51.513875,-0.117774
"New Cavendish Street, Marylebone",48,51.519167,-0.147983
"Liverpool Road (N1 Centre), Angel",48,51.53450449,-0.106992706
"Northington Street , Holborn",48,51.5222641,-0.114079481
"Holy Trinity Brompton, Knightsbridge",48,51.49705603,-0.168917077
"Gloucester Street, Pimlico",47,51.49096258,-0.139625122
"Dorset Square, Marylebone",47,51.5225965,-0.161113413
"Bricklayers Arms, Borough",47,51.49506109,-0.085814489
"Brunswick Square, Bloomsbury",47,51.52395143,-0.122502346
"Empire Square, The Borough",46,51.50082346,-0.089740764
"Milroy Walk, South Bank",46,51.50724437,-0.106237501
"Great Russell Street, Bloomsbury",46,51.51772703,-0.127854211
"Granby Street, Shoreditch",45,51.525645,-0.069543
"Queen's Gate, Kensington Gardens",45,51.5017154373867,-0.1798541843891
"Wood Street, Guildhall",45,51.51700801,-0.09388536
"Flood Street, Chelsea",45,51.48802358,-0.166878535
"Erin Close, Walham Green",45,51.47946386,-0.195777222
"Westbridge Road, Battersea",45,51.47768469,-0.170329317
"Portland Place, Marylebone",45,51.52071513,-0.14521173
"Elizabeth Bridge, Victoria",45,51.49236962,-0.147478734
"Southwick Street, Paddington",45,51.51595344,-0.169249375
"St. George's Square, Pimlico",45,51.488226,-0.135635511
"St. Mary Axe, Aldgate",44,51.51422502,-0.080660083
"Montpelier Street, Knightsbridge",44,51.49888404,-0.165471605
"Fire Brigade Pier, Vauxhall",44,51.49369988,-0.121394101
"Old Quebec Street, Marylebone",44,51.51457763,-0.158264483
"Finsbury Library , Finsbury",44,51.52671796,-0.104298194
"Horseferry Road, Westminster",43,51.49481649,-0.13045856
"Fournier Street, Whitechapel",43,51.519362,-0.074431
"New Inn Yard, Shoreditch",43,51.52452699,-0.079248081
